backblaze-downloader,https://www.backblaze.com/,Backblaze Downloader,https://secure.backblaze.com/mac_restore_downloader,latest
backblaze,https://www.backblaze.com/,Backblaze,https://secure.backblaze.com/mac/install_backblaze.dmg,latest
backtobed,https://www.dadiu.dk/back-to-bed,Back to Bed,https://backtobed.dadiugames.dk/studentversion/backtobed_osx.zip,latest
backuploupe,http://www.soma-zone.com/BackupLoupe/,BackupLoupe,"",""
baiducloud,https://pan.baidu.com,Baidu Cloud,"",""
baiduhi,https://hi.baidu.com/,Baidu Hi,https://im.baidu.com/download/machi_setup.dmg,latest
baiduinput,https://srf.baidu.com/input/mac.html,Baidu Input,"",""
baidumusic,http://music.baidu.com/,Baidu Music,http://music.baidu.com/player/mac/baidumusic_mac.dmg,latest
baidunetdisk,https://pan.baidu.com/download,Baidu NetDisk,"",""
balsamiq-mockups,https://balsamiq.com/,Balsamiq Mockups,"",""
bandage,https://rrwick.github.io/Bandage/,Bandage,"",""
bankid,https://install.bankid.com/,BankID,"",""
banktivity,https://www.iggsoftware.com/banktivity/,Banktivity,https://www.iggsoft.com/banktivity/Banktivity5_Web.dmg,latest
banshee,http://banshee.fm,Banshee,"",""
baretorrent,https://launchpad.net/baretorrent,baretorrent,"",""
barmaid,https://github.com/zenonas/barmaid,Barmaid,"",""
bartender,https://www.macbartender.com/,Bartender,"",""
barxtemp,https://gabriele91.github.io/barXtemp/,barXtemp,"",""
base,https://menial.co.uk/base/,Menial Base,"",""
basecamp,https://basecamp.com/help/3/guides/apps/mac,Basecamp 3,https://bc3-desktop.s3.amazonaws.com/mac/basecamp3.dmg,latest
basex,http://basex.org/,BaseX,"",""
basictex,https://www.tug.org/mactex/morepackages.html,BasicTeX,"",""
basis-sync,https://www.mybasis.com/,Basis Sync,"",""
bassjump,https://www.twelvesouth.com/product/bassjump-2-for-macbook,BassJump,"",""
bassshapes,http://yellquietly.com/bass-shapes/,Bass Shapes,"",""
batchmod,https://www.lagentesoft.com/batchmod/,BatChmod,"",""
bathyscaphe,http://bathyscaphe.bitbucket.org/,BathyScaphe,"",""
battery-guardian,https://www.dssw.co.uk/batteryguardian/,Battery Guardian,"",""
battery-report,https://www.dssw.co.uk/batteryreport/,Battery Report,"",""
battery-time-remaining,http://yap.nu/battery-time-remaining/,Battery Time Remaining,"",""
battle-net,https://battle.net/,Blizzard Battle.net,https://www.battle.net/download/getInstallerForGame?os=mac&locale=enUS&version=LIVE&gameProgram=BATTLENET_APP,latest
baudline,http://www.baudline.com/,baudline,"",""
baygenie,http://www.baygenie.com/,BayGenie,https://www.baygenie.com/Download/BayGenie4Mac.dmg,latest
bbc-iplayer-downloads,http://www.bbc.co.uk/iplayer/install,BBC iPlayer Downloads,"",""
bbedit,http://www.barebones.com/products/bbedit/,BBEdit,"",""
beacon-scanner,https://github.com/mlwelles/BeaconScanner/,BeaconScanner,"",""
beaker,http://beakernotebook.com/,Beaker,"",""
beamer,https://beamer-app.com/,Beamer,"",""
bean,http://www.bean-osx.com,Bean,http://www.bean-osx.com/releases/Bean-Install.zip,latest
beardedspice,https://github.com/beardedspice/beardedspice/,BeardedSpice,"",""
bearychat,https://bearychat.com,BearyChat,https://bearychat.com/apps/mac,latest
beatport-pro,https://pro.beatport.com/,Beatport Pro,"",""
beatunes,https://www.beatunes.com,beaTunes,"",""
beautune,http://www.everimaging.com/software/beautune/,Beautune,"",""
bee,http://www.neat.io/bee/,Bee,"",""
beersmith2,https://beersmith.com/,BeerSmith2,"",""
beesoft,https://beeverycreative.com/beesoft/,Beesoft,"",""
